OBJECTID,ID,NAME,STATE_NAME,ST_ABBREV,UniqueID,UNEMPRT_CY,POPGRW00CY,Observed,Cond,LocalR2,Predicted,Intercept,C1_Pop_Change,Residual,StdError,Correlation,ColorRGB,ColorHex,Shape__Area,Shape__Length
1361,13167,Johnson County,Georgia,GA,1361,12.500000000000000,1.020000000000000,12.500000000000000,1.760537461009571,0.464290697512159,11.435340954281205,15.943878882355749,-4.420135223602493,1.064659045718795,2.088551718918397,strongly negative,"181,64,31",B5401F,1124176213.718750000000000,192964.626329458231339
1362,13175,Laurens County,Georgia,GA,1362,12.199999999999999,0.650000000000000,12.199999999999999,2.166618948306819,0.234980750074360,12.526755955027005,14.102215697991632,-2.423784219945579,-0.326755955027005,2.224470643073961,weakly negative,"223,170,88",DFAA58,2986862708.197265625000000,242056.545986337121576
1363,13235,Pulaski County,Georgia,GA,1363,10.699999999999999,0.260000000000000,10.699999999999999,1.824477820918149,0.138714688899294,13.144742100053264,13.460264827786801,-1.213548952821297,-2.444742100053265,2.237193398985659,weakly negative,"223,170,88",DFAA58,907721322.914062500000000,145446.180949450324988
1364,13271,Telfair County,Georgia,GA,1364,15.199999999999999,1.220000000000000,15.199999999999999,2.682789804035214,0.005606712182509,12.501729514321752,13.016975855130930,-0.422333066237031,2.698270485678247,1.971980395751118,weak,"231,228,187",E7E4BB,1601708903.660156250000000,235580.816857354977401
1365,13289,Twiggs County,Georgia,GA,1365,15.500000000000000,-0.380000000000000,15.500000000000000,2.064913883816650,0.263819056270730,15.294965741750133,14.522970617512733,-2.031566116414211,0.205034258249867,2.010822764927079,weakly negative,"223,170,88",DFAA58,1329371247.187500000000000,203882.594289848435437
1366,13309,Wheeler County,Georgia,GA,1366,9.699999999999999,1.160000000000000,9.699999999999999,2.808765505458888,0.040438816437424,11.729762521647872,12.977371192281119,-1.075524716063144,-2.029762521647873,2.094926010582052,weak,"231,228,187",E7E4BB,1087139790.951171875000000,197380.348970588936936
1367,13315,Wilcox County,Georgia,GA,1367,10.900000000000000,0.190000000000000,10.900000000000000,1.810103288846741,0.115355119531741,13.369110144991335,13.583781591287224,-1.129849717346776,-2.469110144991335,2.233744711232180,weak,"231,228,187",E7E4BB,1383822082.556640625000000,197463.119884161395021
1368,13319,Wilkinson County,Georgia,GA,1368,14.600000000000000,-0.150000000000000,14.600000000000000,1.869293395434808,0.393186295180361,16.174042930077498,15.731023332314379,-2.953463985087464,-1.574042930077498,2.150742303560927,negative,"221,91,59",DD5B3B,1661444064.582031250000000,204910.964604556240374
1378,13027,Brooks County,Georgia,GA,1378,9.500000000000000,0.020000000000000,9.500000000000000,2.724383189723105,0.122214510090799,12.710704698981816,12.736199449435002,-1.274737522659279,-3.210704698981816,2.072786150108480,weakly negative,"223,170,88",DFAA58,1754429634.597656250000000,253985.728031140839448
1379,13065,Clinch County,Georgia,GA,1379,10.900000000000000,0.020000000000000,10.900000000000000,3.247047817486934,0.026760470780039,12.582954245422590,12.596533269816444,-0.678951219692667,-1.682954245422589,1.966183758904343,weak,"231,228,187",E7E4BB,2909321796.968750000000000,264653.852728473779280
1380,13101,Echols County,Georgia,GA,1380,8.699999999999999,1.450000000000000,8.699999999999999,3.438839903655250,0.019916192348208,11.358439278120990,12.141214531573034,-0.539845002380720,-2.658439278120991,2.170471511562326,weak,"231,228,187",E7E4BB,1479101334.363281250000000,184665.772274783899775
1381,13131,Grady County,Georgia,GA,1381,11.900000000000000,0.650000000000000,11.900000000000000,1.879946076875969,0.116553759910691,11.574625828353302,12.187811156208571,-0.943362042854261,0.325374171646699,2.250062587652387,weak,"231,228,187",E7E4BB,1623415638.724609375000000,169508.861363103118492
1382,13173,Lanier County,Georgia,GA,1382,9.699999999999999,1.350000000000000,9.699999999999999,2.999021543818838,0.051086439724167,11.655429702997376,13.169698480189727,-1.121680575698038,-1.955429702997376,2.092507671523813,weak,"231,228,187",E7E4BB,707028864.636718750000000,144730.793134292849572
1383,13185,Lowndes County,Georgia,GA,1383,9.300000000000001,1.410000000000000,9.300000000000001,3.167354590050874,0.055508065141881,11.210521623589766,12.642161303178671,-1.015347290488585,-1.910521623589766,2.104087037502696,weak,"231,228,187",E7E4BB,1799616817.390625000000000,255754.415952397539513
1384,13275,Thomas County,Georgia,GA,1384,12.100000000000000,0.650000000000000,12.100000000000000,2.210862933062812,0.141644832250452,11.697585372594686,12.409403605833029,-1.095104974212835,0.402414627405314,2.246320136753842,weak,"231,228,187",E7E4BB,1946965251.339843750000000,194826.331797766732052
1385,13021,Bibb County,Georgia,GA,1385,12.600000000000000,0.120000000000000,12.600000000000000,2.192499913036479,0.217525560742214,13.947725528623884,14.105917005663635,-1.318262308664589,-1.347725528623885,2.163288776975194,weakly negative,"223,170,88",DFAA58,937889059.460937500000000,162909.097382149746409
