CNTY_FIPS,Housing and transportation costs as a percent of income for Median-Income Family households
13225,55.23247016
13255,53.99520676
13225,50.03899165
13051,59.77521666
13051,58.26093736
13051,52.97783451
13051,71.79775001
13045,70.31934124
13001,71.00242496
13215,63.39087084
13121,63.59453237
13121,62.2800973
13121,60.30417596
13051,63.91121271
13067,90.86869169
13085,57.49344616
13143,60.26465406
13143,60.31433435
13143,60.22999356
13067,68.09387222
13115,67.99936475
13115,60.5690297
13115,83.75527792
13115,59.58168319
13051,64.32673491
13089,60.14070679
13089,61.93076035
13089,58.92965547
13121,72.79814234
13121,72.91739243
13225,75.50210908
13225,57.55755256
13255,67.36341939
13255,65.05138948
13115,62.86161277
13115,71.75662111
13115,72.7058177
13089,74.55801373
13089,73.38428235
13089,74.24406324
13089,60.28662998
13089,54.78983897
13051,64.76918807
13177,63.39587011
13067,45.32604966
13089,60.99431106
13051,59.6136216
13051,64.21549474
13051,62.94977128
13045,62.35524088
13045,62.7103161
13001,59.17718061
13001,61.52298272
13001,57.89217401
13067,60.50386346
13067,63.75875635
13067,58.44781977
13067,56.33556148
13279,58.76267685
13067,70.02838796
13279,68.30730003
13057,69.72591322
13063,66.40026431
13025,59.55788192
13025,64.6840752
13039,65.23582523
13101,70.69077454
13101,62.0340642
13059,82.1902641
13025,83.65771368
13321,65.20488265
13321,65.92878041
13067,62.2819344
13067,62.33791393
13067,54.81979046
13117,73.87613678
13067,76.7304837
13067,61.91503521
13067,70.15019576
13051,67.21452411
13067,69.92946109
13121,67.6574382
13121,70.37893363
13121,60.57045479
13013,63.43434079
13089,72.68605052
13295,72.62246783
13295,71.95488053
13121,60.63580303
13121,58.2188794
13121,59.9789321
13121,59.26223456
13185,58.36505595
13057,50.00759948
13057,58.19576545
13013,58.41568601
13013,53.6073324
13013,57.55667541
13013,56.70707729
13013,58.04921903
13081,56.87548595
13245,59.65627637
13121,57.38766354
13089,57.59959484
13317,59.49800481
13317,62.70104055
13241,63.69155548
13241,62.37701935
13051,56.63553456
13311,67.67509425
13057,73.81836654
13057,72.36190867
13139,73.22441464
13217,76.13588331
13217,72.20420122
13261,71.3117194
13261,70.26957582
13261,68.49667885
13261,73.43351543
13153,70.05081169
13073,68.33138857
13073,60.92016918
13139,60.05750177
13063,62.6721154
13057,57.3515251
13261,54.33417199
13067,51.38961562
13067,56.80518346
13067,56.14903558
13051,62.85393273
13067,60.13779622
13067,59.527628
13089,58.82002447
13089,60.80499391
13217,67.45852068
13217,61.5362644
13285,62.71078774
13285,55.77371617
13057,56.30560129
13057,81.6771491
13013,80.06917887
13013,83.88434004
13179,82.29904678
13179,54.67056818
13179,60.11697982
13121,60.47213096
13187,61.61144496
13099,59.63918687
13099,46.75450719
13099,54.3415441
13117,54.29998821
13223,61.65119934
13187,58.99545393
13189,59.24955768
13189,61.99413734
13079,58.24648433
13063,58.90184165
13067,56.97878716
13067,57.67989834
13067,56.35889553
13067,62.25701689
13067,57.58902573
13135,83.84966016
13185,79.55220757
13189,79.50875666
13261,59.90297193
13261,59.78448554
13261,59.64826447
13089,59.39287223
13021,59.12389644
13057,56.50469995
13057,57.3311152
13057,60.19091679
13057,59.89101482
13057,61.99031729
13217,59.65396771
13063,56.47301685
13063,63.2734752
13063,57.41036722
13021,55.59825641
13285,55.91184346
13285,62.37932684
13185,59.66547806
13245,59.50920944
13299,58.75079618
13299,60.66974339
13299,56.50498591
13299,60.34705308
13057,56.81549461
13223,57.72904635
13135,52.14709489
13285,59.64481413
13073,61.6147761
13073,70.31438519
13073,68.21094645
13073,62.48509055
13073,60.1007875
13233,58.3039834
13097,56.34616742
13097,60.18556273
13021,58.05209164
13021,57.8002097
13021,57.61840846
13035,58.46962939
13285,56.85489437
13089,53.55005402
13073,56.91734136
13139,56.60894831
13073,56.37181255
13073,75.44108053
13035,77.76242447
13003,60.09007508
13153,56.70379612
13003,56.53438564
13003,60.51389971
13217,80.1534959
13285,59.71303756
13121,58.44903829
13121,60.3124866
13121,59.45949727
13057,61.65968925
13115,56.57307645
13089,58.2672271
13089,59.61328536
13089,59.99814375
13089,54.72435617
13067,62.63544774
13057,63.45533217
13057,63.49231031
13057,80.57850167
13057,57.00217413
13067,56.93756251
13067,60.670903
13153,58.59521627
13067,69.54974531
13067,68.35149049
13089,69.74240927
13115,65.16949647
13089,63.7504694
13089,66.29840997
13121,66.56416387
13121,66.56936362
13121,67.47928141
13121,69.53498324
13135,65.22349772
13057,63.06893928
13057,68.84522704
13073,67.72088517
13073,68.43952105
13097,65.82211493
13063,65.96606842
13063,55.52080637
13059,61.54663707
13039,62.96466053
13039,55.99089156
13039,64.62104557
13021,68.0459245
13021,67.19452807
13217,67.39656247
13217,66.62747894
13121,61.93714842
13121,58.72214053
13121,58.25154634
13121,55.69304447
13121,56.40481343
13057,54.89968279
13297,74.59512459
13297,77.27460201
13219,75.70856576
13219,58.11638256
13219,55.49379359
13219,68.34342595
13063,67.80531577
13063,67.74663441
13121,69.7289537
13121,68.41496214
13195,69.94680834
13195,65.84658351
13121,68.92299144
13121,66.16853111
13121,68.24507458
13229,67.42795555
13229,68.98761713
13229,67.77551138
13193,60.63497516
13193,70.0037987
13193,72.24195394
13237,65.63688053
13063,68.10822739
13175,68.69755517
13175,65.98433318
13175,68.51865333
13195,63.48427476
13245,65.50344294
13245,57.32875745
13233,56.98652484
13095,61.23146913
13233,56.74233204
13229,67.29605402
13137,67.62788317
13137,61.08374431
13137,60.91274739
13193,62.1507739
13255,60.38860694
13255,64.85551625
13071,64.11469738
13175,53.70433077
13175,65.05475083
13233,63.35676037
13063,58.99456238
13021,59.01237377
13021,62.23181921
13195,59.19759672
13137,61.25735945
13021,63.22844473
13057,63.80496598
13005,62.79900884
13071,58.11126068
13071,61.5553821
13013,55.59801766
13013,64.64935929
13153,62.88170293
13175,65.39056957
13247,58.80306425
13247,59.2892717
13089,64.33800159
13115,62.58689924
13195,64.58209873
13195,55.45935049
13285,59.38132228
13245,56.85261453
13245,75.05273969
13121,54.52522523
13013,58.10090698
13013,61.82592885
13013,56.5226509
13121,65.94927694
13121,59.62368929
13121,60.02915516
13127,65.68113905
13103,60.25037319
13103,69.87257163
13115,66.33554935
13285,54.3428198
13313,64.39114193
13095,60.03957521
13175,60.68404101
13051,62.13541879
13175,60.39388331
13175,60.481653
13175,62.47314103
13299,60.21781081
13299,57.38991953
13015,64.6542791
13097,64.14460178
13289,65.06784982
13289,60.63109056
13127,63.76564559
13127,57.85999533
13143,55.12282715
13031,56.1377149
13031,51.73283887
13095,54.88796731
13075,59.95857722
13075,61.14498614
13089,61.05994858
13247,54.86271448
13247,60.24265765
13247,60.77278142
13285,58.87853001
13185,83.37122792
13089,56.27442309
13089,58.69944979
13089,62.71424158
13095,61.87041292
13111,55.92459391
13111,56.70158186
13161,57.78779055
13185,53.77337882
13021,56.93480542
13021,58.31439693
13013,57.96386506
13013,56.47031165
13013,55.93204748
13121,54.42945663
13009,61.03011959
13009,60.38544492
13009,65.53264749
13009,59.15333504
13255,56.06805288
13095,59.50989682
13305,63.25521232
13089,66.27866409
13063,57.80195508
13063,59.94059503
13063,64.74371505
13247,64.39582772
13247,57.96054787
13179,61.32109339
13135,61.70905786
13135,62.66246613
13095,57.0795755
13111,63.7212076
13111,62.20140074
13111,63.88463148
13121,58.98593666
13121,58.42007756
13121,62.85522708
13121,59.55465264
13127,58.07819824
13127,64.63065018
13161,63.13019859
13121,63.70716213
13009,63.70835805
13173,59.56228182
13043,63.07890351
